benchmark,N,time
G-Polymatroid,2,0.0351854375039693
General Affine,2,0.019842500012600794
Zonotope,2,0.10282029199879616
Homothet,2,0.05918522897991352
G-Polymatroid,3,0.009375812485814095
General Affine,3,0.022087645484134555
Zonotope,3,0.1482209164823871
Homothet,3,0.08346774999517947
